Pl.Kod_Şehir,Ortalama,Erkek,Kadın
1,76.8,74,79.6
2,78.7,76.4,81
3,76.9,74.5,79.4
4,76.9,74.5,79.4
5,78.1,75.4,80.9
6,79.2,76.5,81.8
7,78.4,75.8,81.1
8,79.1,76.3,81.9
9,78.1,75.3,81
10,77.3,74.5,80.2
11,77.6,74.9,80.5
12,79.3,77,81.7
13,77.8,75.2,80.5
14,79.1,76.6,81.6
15,79,76,82
16,77.7,75.1,80.4
17,77.5,74.6,80.7
18,78,75.4,80.7
19,78.7,76.1,81.4
20,78.1,75.3,80.9
21,78.1,75.5,80.7
22,76.9,74,80
23,78.4,76.1,80.7
24,79.1,76.7,81.7
25,77.7,75.3,80.1
26,77.9,75.3,80.5
27,76.2,73.6,78.7
28,79,75.8,82.4
29,78.8,75.8,82
30,79.3,76.3,82.2
31,76.9,74.7,79.2
32,78.6,76,81.3
33,77.7,74.9,80.6
34,78.6,75.8,81.3
35,78.1,75.2,81.1
36,78.5,76.1,81
37,77.3,74.5,80.4
38,77.7,75.2,80.3
39,76.9,74,80.2
40,77.8,75,80.6
41,77.6,75.2,80.2
42,77.8,75.2,80.4
43,76.9,74.7,79.2
44,78.8,76.1,81.6
45,77.1,74.4,79.9
46,78.3,76.3,80.4
47,79.7,77.1,82.1
48,79.3,76.4,82.5
49,77.6,75.2,79.9
50,77.7,75.4,79.9
51,77.5,74.5,80.7
52,78.2,75.5,81.2
53,78.6,74.9,82.3
54,77.4,74.8,80.1
55,77.6,74.9,80.2
56,78.2,75.5,80.8
57,77.7,75,80.7
58,78.1,75.6,80.7
59,77.1,74.6,79.9
60,77.6,75.1,80.2
61,79,76,82.1
62,80.8,78.1,83.6
63,77,74.1,79.9
64,77.8,75,80.7
65,77.6,75.5,79.8
66,77.6,74.8,80.5
67,77.5,74.9,80
68,78,75.3,80.7
69,79.1,76.3,82.1
70,78.5,76,81.1
71,77.2,74.3,80.2
72,78.6,75.9,81.1
73,79.7,75.9,83.3
74,77,74.2,79.8
75,78.4,75.9,81.4
76,79.1,76.5,81.7
77,77.9,75.1,80.9
78,78,75.3,80.8
79,76.1,73.2,79.1
80,77,74.3,79.8
81,77.4,74.6,80.3